"","worker_id","accuracy","screener","complete_task","payment_accuracy_threshold","worker_id_found_on_MTurk","task_name","task_date","treatment_payrate","pay_or_not","repeater"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A3F0IB24N4G54T",0.1,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"3","A18EWG6CNKAO2J",0.2,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"4","AF2GUPXX9MYSS",0.4,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"5","A1BANTV8HONS2C",0.18,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"6","A31UVMRUFGGJ12",0.2,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"7","A1VOFYYXKZWG7W",0.2,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"8","A1ZTSCPETU3UJW",0.8,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"9","A3N5TCHRPQF6P",0.1,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"10","A2BACJE00ZUDXS",0.1,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"11","A2XTDTDT3QSCB",0.64,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"12","A1XWYM32PN3RTY",0.22,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"13","A5DSYVNGYLCA5",0.52,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"14","A305KD2HBUUCMQ",0.1,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"15","A14IPCXU8FDVBR",0.84,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"16","A3HV5TBJ6RCFLH",0.28,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"17","A11X5M6KPGSTTC",0.12,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"18","A6GS1C9J3ARSB",0.14,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"19","AYR7LHHVFNL8D",0.22,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"20","ADVCIFLB5A9B",0.64,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"21","A2X3QCJK0H18T8",0.16,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"22","A1IPW3ERKG1H5V",0.16,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"23","A2CI211U7YLBID",0.78,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"24","A1VG8WTPJFZJAI",0.88,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"25","A1GKUAKO01ONT7",0.48,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"26","A748ETX7W2MBZ",0.18,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"27","A2H9COVN7HMNLL",0.18,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"28","A1GRRCH4K8JYBO",0.48,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"29","A34LRS5WXFCCIY",0.76,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"30","A161XKHTHC50S8",0.74,1,1,0.25,0,"pilot","10/28/2017",0.1,0,NA
"31","ARTLO1JR51DT",0.06,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"32","A19BEDJTKWEDDM",0.72,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"33","A2KEGX3820EQZE",0.82,1,1,0.25,0,"pilot","10/28/2017",0.1,0,NA
"34","A19V3A2N7GWL77",0.72,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"35","A3LSXZR843QSGC",0.62,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"36","A23QPHQND6CS8Y",0.52,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"37","ABVZFMC26LXO6",0.36,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"38","A3KUGXG2Y6X7BD",0.62,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"39","A3R3JXBJVLMNIF",0.58,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"40","A27KF4TT4FWEHI",0.58,1,1,0.25,0,"pilot","10/28/2017",0.1,0,NA
"41","A2OSXVGQUR6IL6",0.5,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"42","A2AO8E3DIJRP8E",0.84,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"43","A2OW0GGDTHSVPC",0.78,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"44","A1POSVC6FSYWLW",0.8,1,1,0.25,0,"pilot","10/28/2017",0.1,0,NA
"45","A3UN9YYKM944VX",0.66,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"46","A1ANSFI5L7SUUH",0.7,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"47","A1U2DXPXFTDKPU",0.52,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"48","A2MLNBQS8RZ8PG",0.76,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"49","A15YR0KPRSH9T4",0.78,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"50","A36XTKYLP4IRDN",0.72,1,1,0.25,0,"pilot","10/28/2017",0.1,0,NA
"51","A3OCHRI3EXIVEG",0.16,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA
"52","A252PMEYW7EUQC",0.82,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
