"","worker_id","accuracy","screener","complete_task","payment_accuracy_threshold","worker_id_found_on_MTurk","task_name","task_date","treatment_payrate","pay_or_not","repeater","group","accuracy_S1","accuracy_S2","accuracy_S3","total_bonus"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A3F0IB24N4G54T",0.1,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"3","A18EWG6CNKAO2J",0.2,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"4","AF2GUPXX9MYSS",0.4,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"5","A1BANTV8HONS2C",0.18,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"6","A31UVMRUFGGJ12",0.2,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"7","A1VOFYYXKZWG7W",0.2,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"8","A1ZTSCPETU3UJW",0.8,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"9","A3N5TCHRPQF6P",0.1,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"10","A2BACJE00ZUDXS",0.1,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"11","A2XTDTDT3QSCB",0.64,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"12","A1XWYM32PN3RTY",0.22,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"13","A5DSYVNGYLCA5",0.52,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"14","A305KD2HBUUCMQ",0.1,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"15","A14IPCXU8FDVBR",0.84,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"16","A3HV5TBJ6RCFLH",0.28,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"17","A11X5M6KPGSTTC",0.12,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
