HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
3OLZC0DJ8JFMZ7XLHSO3L1DB25QIVD,3ISUSNUB1ZEOY3XQNEVKHSO3QE4K25,Multiple Choice Task,This is a 50-question multiple-choice task.,"survey, multiple-choice",$0.10,Sat Nov 11 02:44:07 PST 2017,100,BatchId:3005665;OriginalHitTemplateId:920937340;,1200,259200,Mon Nov 13 02:44:07 PST 2017,,,30MVJZJNHMDMJV1IMC98U4Z19YGJ94,A3HBWCNYRAL8DZ,Submitted,Sat Nov 11 07:46:11 PST 2017,Sat Nov 11 07:50:22 PST 2017,Tue Nov 14 07:50:22 PST 2017,,,,251,0% (0/0),0% (0/0),0% (0/0),291912048,,
3OLZC0DJ8JFMZ7XLHSO3L1DB25QIVD,3ISUSNUB1ZEOY3XQNEVKHSO3QE4K25,Multiple Choice Task,This is a 50-question multiple-choice task.,"survey, multiple-choice",$0.10,Sat Nov 11 02:44:07 PST 2017,100,BatchId:3005665;OriginalHitTemplateId:920937340;,1200,259200,Mon Nov 13 02:44:07 PST 2017,,,30ZX6P7VF8VBJBGJ13UTKHRN3S92JY,A2E746SZEOVYXS,Submitted,Sat Nov 11 09:52:03 PST 2017,Sat Nov 11 09:57:38 PST 2017,Tue Nov 14 09:57:38 PST 2017,,,,335,0% (0/0),0% (0/0),0% (0/0),672062111,,
3OLZC0DJ8JFMZ7XLHSO3L1DB25QIVD,3ISUSNUB1ZEOY3XQNEVKHSO3QE4K25,Multiple Choice Task,This is a 50-question multiple-choice task.,"survey, multiple-choice",$0.10,Sat Nov 11 02:44:07 PST 2017,100,BatchId:3005665;OriginalHitTemplateId:920937340;,1200,259200,Mon Nov 13 02:44:07 PST 2017,,,3137ONMDKG5TNP2YMH4RP58W83MEGC,A34KOI4FSDOTDT,Submitted,Sat Nov 11 12:44:30 PST 2017,Sat Nov 11 12:50:51 PST 2017,Tue Nov 14 12:50:51 PST 2017,,,,381,0% (0/0),0% (0/0),0% (0/0),369507631,,
3OLZC0DJ8JFMZ7XLHSO3L1DB25QIVD,3ISUSNUB1ZEOY3XQNEVKHSO3QE4K25,Multiple Choice Task,This is a 50-question multiple-choice task.,"survey, multiple-choice",$0.10,Sat Nov 11 02:44:07 PST 2017,100,BatchId:3005665;OriginalHitTemplateId:920937340;,1200,259200,Mon Nov 13 02:44:07 PST 2017,,,31T4R4OBOSGVXY7JXNU2T4V0OOSC7G,AT94Y12KEGKNO,Submitted,Sat Nov 11 13:38:25 PST 2017,Sat Nov 11 13:49:12 PST 2017,Tue Nov 14 13:49:12 PST 2017,,,,647,0% (0/0),0% (0/0),0% (0/0),375314131,,
3OLZC0DJ8JFMZ7XLHSO3L1DB25QIVD,3ISUSNUB1ZEOY3XQNEVKHSO3QE4K25,Multiple Choice Task,This is a 50-question multiple-choice task.,"survey, multiple-choice",$0.10,Sat Nov 11 02:44:07 PST 2017,100,BatchId:3005665;OriginalHitTemplateId:920937340;,1200,259200,Mon Nov 13 02:44:07 PST 2017,,,32ZKVD547FNUMAEQHBVH53D211QB3N,A8HADRH59XIB4,Submitted,Sat Nov 11 04:35:53 PST 2017,Sat Nov 11 04:36:09 PST 2017,Tue Nov 14 04:36:09 PST 2017,,,,16,0% (0/0),0% (0/0),0% (0/0),192097369,,
3OLZC0DJ8JFMZ7XLHSO3L1DB25QIVD,3ISUSNUB1ZEOY3XQNEVKHSO3QE4K25,Multiple Choice Task,This is a 50-question multiple-choice task.,"survey, multiple-choice",$0.10,Sat Nov 11 02:44:07 PST 2017,100,BatchId:3005665;OriginalHitTemplateId:920937340;,1200,259200,Mon Nov 13 02:44:07 PST 2017,,,333U7HK6I9FYMLEZYSEAG0IR0JZDJJ,A2STXZFG083AAB,Submitted,Sat Nov 11 10:44:17 PST 2017,Sat Nov 11 10:49:41 PST 2017,Tue Nov 14 10:49:41 PST 2017,,,,324,0% (0/0),0% (0/0),0% (0/0),460421253,,
3OLZC0DJ8JFMZ7XLHSO3L1DB25QIVD,3ISUSNUB1ZEOY3XQNEVKHSO3QE4K25,Multiple Choice Task,This is a 50-question multiple-choice task.,"survey, multiple-choice",$0.10,Sat Nov 11 02:44:07 PST 2017,100,BatchId:3005665;OriginalHitTemplateId:920937340;,1200,259200,Mon Nov 13 02:44:07 PST 2017,,,337RC3OW052QBS2LSYQH211Q4F6LVQ,A24CZN2VAI0US0,Submitted,Sat Nov 11 09:25:25 PST 2017,Sat Nov 11 09:30:18 PST 2017,Tue Nov 14 09:30:18 PST 2017,,,,293,0% (0/0),0% (0/0),0% (0/0),839389548,,
3OLZC0DJ8JFMZ7XLHSO3L1DB25QIVD,3ISUSNUB1ZEOY3XQNEVKHSO3QE4K25,Multiple Choice Task,This is a 50-question multiple-choice task.,"survey, multiple-choice",$0.10,Sat Nov 11 02:44:07 PST 2017,100,BatchId:3005665;OriginalHitTemplateId:920937340;,1200,259200,Mon Nov 13 02:44:07 PST 2017,,,33CKWXB73JKXZ9IJSAO9BYLWH5R118,A2S70B3BPRGCU0,Submitted,Sat Nov 11 06:57:46 PST 2017,Sat Nov 11 07:03:23 PST 2017,Tue Nov 14 07:03:23 PST 2017,,,,337,0% (0/0),0% (0/0),0% (0/0),360644520,,
3OLZC0DJ8JFMZ7XLHSO3L1DB25QIVD,3ISUSNUB1ZEOY3XQNEVKHSO3QE4K25,Multiple Choice Task,This is a 50-question multiple-choice task.,"survey, multiple-choice",$0.10,Sat Nov 11 02:44:07 PST 2017,100,BatchId:3005665;OriginalHitTemplateId:920937340;,1200,259200,Mon Nov 13 02:44:07 PST 2017,,,33JKGHPFYCUX95BXQJ55SXM2IHRMN9,A30V1UH00MWJU5,Submitted,Sat Nov 11 07:11:11 PST 2017,Sat Nov 11 07:14:45 PST 2017,Tue Nov 14 07:14:45 PST 2017,,,,214,0% (0/0),0% (0/0),0% (0/0),100156684,,
3OLZC0DJ8JFMZ7XLHSO3L1DB25QIVD,3ISUSNUB1ZEOY3XQNEVKHSO3QE4K25,Multiple Choice Task,This is a 50-question multiple-choice task.,"survey, multiple-choice",$0.10,Sat Nov 11 02:44:07 PST 2017,100,BatchId:3005665;OriginalHitTemplateId:920937340;,1200,259200,Mon Nov 13 02:44:07 PST 2017,,,36DSNE9QZ5YPQI5OO1SQRUUQ4XTJO9,A19BNR0HVICIT3,Submitted,Sat Nov 11 03:13:49 PST 2017,Sat Nov 11 03:21:17 PST 2017,Tue Nov 14 03:21:17 PST 2017,,,,448,0% (0/0),0% (0/0),0% (0/0),409371615,,
