                 ID  accuracy
 1:   AF2GUPXX9MYSS 0.3750000
 2:  A1ZTSCPETU3UJW 0.7916667
 3:   A2XTDTDT3QSCB 0.6250000
 4:   A5DSYVNGYLCA5 0.5000000
 5:  A14IPCXU8FDVBR 0.8333333
 6:  A3HV5TBJ6RCFLH 0.2500000
 7:    ADVCIFLB5A9B 0.6250000
 8:  A2CI211U7YLBID 0.7708333
 9:  A1VG8WTPJFZJAI 0.8750000
10:  A1GKUAKO01ONT7 0.4583333
11:  A1GRRCH4K8JYBO 0.4583333
12:  A34LRS5WXFCCIY 0.7500000
13:  A161XKHTHC50S8 0.7291667
14:  A19BEDJTKWEDDM 0.7083333
15:  A2KEGX3820EQZE 0.8125000
16:  A19V3A2N7GWL77 0.7083333
17:  A3LSXZR843QSGC 0.6041667
18:  A23QPHQND6CS8Y 0.5000000
19:   ABVZFMC26LXO6 0.3333333
20:  A3KUGXG2Y6X7BD 0.6041667
21:  A3R3JXBJVLMNIF 0.5625000
22:  A27KF4TT4FWEHI 0.5625000
23:  A2OSXVGQUR6IL6 0.4791667
24:  A2AO8E3DIJRP8E 0.8333333
25:  A2OW0GGDTHSVPC 0.7708333
26:  A1POSVC6FSYWLW 0.7916667
27:  A3UN9YYKM944VX 0.6458333
28:  A1ANSFI5L7SUUH 0.6875000
29:  A1U2DXPXFTDKPU 0.5000000
30:  A2MLNBQS8RZ8PG 0.7500000
31:  A15YR0KPRSH9T4 0.7708333
32:  A36XTKYLP4IRDN 0.7083333
33:  A252PMEYW7EUQC 0.8125000
34:  A37VBAMFEQKJO4 0.7708333
35:  A1Q2LJQG0TWBWC 0.6666667
36:  A23VM3SZWYATBO 0.8541667
