                 ID   accuracy
 1:  A3F0IB24N4G54T 0.10416667
 2:  A18EWG6CNKAO2J 0.18750000
 3:  A1BANTV8HONS2C 0.14583333
 4:  A31UVMRUFGGJ12 0.20833333
 5:  A1VOFYYXKZWG7W 0.16666667
 6:   A3N5TCHRPQF6P 0.10416667
 7:  A2BACJE00ZUDXS 0.10416667
 8:  A1XWYM32PN3RTY 0.18750000
 9:  A305KD2HBUUCMQ 0.10416667
10:  A11X5M6KPGSTTC 0.08333333
11:   A6GS1C9J3ARSB 0.14583333
12:   AYR7LHHVFNL8D 0.18750000
13:  A2X3QCJK0H18T8 0.16666667
14:  A1IPW3ERKG1H5V 0.14583333
15:   A748ETX7W2MBZ 0.14583333
16:  A2H9COVN7HMNLL 0.16666667
17:    ARTLO1JR51DT 0.06250000
18:  A3OCHRI3EXIVEG 0.12500000
