"","worker_id","round_accuracy","outcome.key","round"
"1","A10HEV2856GIQL",0.499061326658323,"00","one"
"2","A10TT0QTE6FNQQ",1.02847309136421,"00","one"
"3","A10XK0DWEXO5BY",0.470588235294118,"00","one"
"4","A1131ZL7O5GM6R",1,"00","one"
"5","A11QDNT3W7DT7K",0.823529411764706,"00","one"
"6","A128ibd72ucel3",0.823529411764706,"00","one"
"7","A12JFHCJC680PV",0.411764705882353,"00","one"
"8","A12ZSUQS35AIM4",0.941176470588235,"00","one"
"9","A1320NEHBNZ8FM",0.941176470588235,"00","one"
"10","A13FA7YOB3JAYN",0.882352941176471,"00","one"
"11","A13LPB1S3H6X4G",0.294117647058824,"00","one"
"12","A13Z8G7A82NJIN",0.96964956195244,"00","one"
"13","A14QUTGEXRV4R5",0.852002503128911,"00","one"
"14","A14X9MMC9P7XI8",1,"00","one"
"15","A15X6O2JE40VGB",1,"00","one"
"16","A160ZTD45HEUM5",0.734355444305382,"00","one"
"17","A1689Q1Z4NNDY6",0.793178973717146,"00","one"
"18","A17VXAMGTXV1FL",0.941176470588235,"00","one"
"19","A18Q2TSYBDWQU1",0.941176470588235,"00","one"
"20","A194R45ACMQEOR",0.0588235294117647,"00","one"
"21","A19D4RBBDRNCUB",0.941176470588235,"00","one"
"22","A1B2V27QSGPT6W",0.96964956195244,"00","one"
"23","A1B54URWGA0WFB",1.02847309136421,"00","one"
"24","A1BMDP2T330DY2",1,"00","one"
"25","A1C2LRGS40747I",0.705882352941177,"00","one"
"26","A1COU26U8QXCW9",0.941176470588235,"00","one"
"27","A1D1I8MXYZIXHW",1,"00","one"
"28","A1DWTWQBTQLI6I",0.146120150187734,"00","one"
"29","A1E2K9Z2G98EDK",0.96964956195244,"00","one"
"30","A1EG9WRMZL8IWK",0.941176470588235,"00","one"
"31","A1EOVMNNT8Q370",0,"00","one"
"32","A1EV66QWCULDE5",1,"00","one"
"33","A1F2QQ8D4373H1",0.616708385481852,"00","one"
"34","A1GGKOIK97TZRS",0.96964956195244,"00","one"
"35","A1HF64TV3AAOK6",1,"00","one"
"36","A1HHOCO3ZZHCJZ",0.0872966207759701,"00","one"
"37","A1J0GU26323WVA",0.910826032540676,"00","one"
"38","A1JALA705LS4VZ",0.705882352941177,"00","one"
"39","A1JG0SJHUXT1FW",1,"00","one"
"40","A1KFTYQM1YKVOC",0.882352941176471,"00","one"
"41","A1KRYIRDA2OOWC",0.852002503128911,"00","one"
"42","A1KWFRKBCLPQXZ",0.529411764705882,"00","one"
"43","A1KXYURHCYHKOL",0.882352941176471,"00","one"
"44","A1LEFMRDPX5FV",0.440237797246558,"00","one"
"45","A1LF7EXQHHM40B",0.96964956195244,"00","one"
"46","A1LHDU0RM0ZUZV",0.941176470588235,"00","one"
"47","A1LMVEWG8EJV5Q",0.882352941176471,"00","one"
"48","A1ML5W7RBHQ0DQ",1,"00","one"
"49","A1NDM9R54FJMPW",0.910826032540676,"00","one"
"50","A1NFJUYNV8Y9E3",1,"00","one"
"51","A1NYI79LUIBOTP",0.352941176470588,"00","one"
"52","A1O3FM0MCRSQIM",1,"00","one"
"53","A1O3ZRPQD7TVW5",0.941176470588235,"00","one"
"54","A1OKCXYMNMCRMO",0.823529411764706,"00","one"
"55","A1PGRPL918T2GQ",1,"00","one"
"56","A1Q1C5FVVYB2UX",0.647058823529412,"00","one"
"57","A1QEQOI98976S0",0.852002503128911,"00","one"
"58","A1R2IY8ITXNPE4",0.941176470588235,"00","one"
"59","A1RO22O88I71FD",0.529411764705882,"00","one"
