"","worker_id","one","two","three"
"1","A10HEV2856GIQL","01","11","11"
"2","A10TT0QTE6FNQQ","01","11","11"
"3","A10XK0DWEXO5BY","00","01","11"
"4","A1131ZL7O5GM6R","00","01","11"
"5","A11QDNT3W7DT7K","00","00","01"
"6","A128ibd72ucel3","00","00","00"
"7","A12JFHCJC680PV","00","00","01"
"8","A12ZSUQS35AIM4","00","00","00"
"9","A1320NEHBNZ8FM","00","00","00"
"10","A13FA7YOB3JAYN","00","00","01"
"11","A13LPB1S3H6X4G","00","01","11"
"12","A13Z8G7A82NJIN","01","11","11"
"13","A14QUTGEXRV4R5","01","11","11"
"14","A14X9MMC9P7XI8","00","00","00"
"15","A15X6O2JE40VGB","00","00","00"
"16","A160ZTD45HEUM5","01","11","11"
"17","A1689Q1Z4NNDY6","01","11","11"
"18","A17VXAMGTXV1FL","00","00","00"
"19","A18Q2TSYBDWQU1","00","00","01"
"20","A194R45ACMQEOR","00","01","11"
"21","A19D4RBBDRNCUB","00","00","00"
"22","A1B2V27QSGPT6W","01","11","11"
"23","A1B54URWGA0WFB","01","11","11"
"24","A1BMDP2T330DY2","00","01","11"
"25","A1C2LRGS40747I","00","01","11"
"26","A1COU26U8QXCW9","00","01","11"
"27","A1D1I8MXYZIXHW","00","01","11"
"28","A1DWTWQBTQLI6I","01","11","11"
"29","A1E2K9Z2G98EDK","01","11","11"
"30","A1EG9WRMZL8IWK","00","00","00"
"31","A1EOVMNNT8Q370","00","00","00"
"32","A1EV66QWCULDE5","00","00","01"
"33","A1F2QQ8D4373H1","01","11","11"
"34","A1GGKOIK97TZRS","01","11","11"
"35","A1HF64TV3AAOK6","00","00","01"
"36","A1HHOCO3ZZHCJZ","01","11","11"
"37","A1J0GU26323WVA","01","11","11"
"38","A1JALA705LS4VZ","00","00","01"
"39","A1JG0SJHUXT1FW","00","00","00"
"40","A1KFTYQM1YKVOC","00","00","01"
"41","A1KRYIRDA2OOWC","01","11","11"
"42","A1KWFRKBCLPQXZ","00","00","01"
"43","A1KXYURHCYHKOL","00","00","00"
"44","A1LEFMRDPX5FV","01","11","11"
"45","A1LF7EXQHHM40B","01","11","11"
"46","A1LHDU0RM0ZUZV","00","01","11"
"47","A1LMVEWG8EJV5Q","00","00","01"
"48","A1ML5W7RBHQ0DQ","00","00","00"
"49","A1NDM9R54FJMPW","01","11","11"
"50","A1NFJUYNV8Y9E3","00","00","00"
"51","A1NYI79LUIBOTP","00","00","00"
"52","A1O3FM0MCRSQIM","00","00","00"
"53","A1O3ZRPQD7TVW5","00","00","01"
"54","A1OKCXYMNMCRMO","00","01","11"
"55","A1PGRPL918T2GQ","00","00","01"
"56","A1Q1C5FVVYB2UX","00","00","00"
"57","A1QEQOI98976S0","01","11","11"
"58","A1R2IY8ITXNPE4","00","01","11"
"59","A1RO22O88I71FD","00","00","01"
"60","A1ROEDVMTO9Y3X","01","11","11"
"61","A1SNH45MEHBR5S","01","11","11"
"62","A1SZ9P1ZBKYJRM","00","01","11"
"63","A1U7K5FH83GZJ1","00","00","00"
"64","A1V6CLZZVH3PLU","00","00","00"
"65","A1VDET148FIJWJ","00","00","00"
"66","A1VJ4ZOXP9PUCP","00","00","00"
"67","A1W5A8Z3JUZN7S","00","00","00"
"68","A1X2NKJNHB1A5","00","00","01"
"69","A1XKHXJ8CMIX7N","00","00","01"
"70","A1Y7FXIV5IXZTT","00","01","11"
"71","A1Z2XMXEZ1SEI6","00","00","00"
"72","A1ZWIHLL87L507","00","01","11"
"73","A200H4TX468LE","00","00","00"
"74","A20UCVI4ST12GC","00","00","00"
"75","A220N98XQJ75DA","01","11","11"
"76","A22GF3H0SU4ISE","00","00","00"
"77","A22ND8360PZYO3","00","00","00"
"78","A23XJ8I86R0O3B","00","00","00"
"79","A24DSECWUBZC0Z","00","01","11"
"80","A24KXOCL89WA1U","00","00","01"
"81","A2592UTCHSDXAY","01","11","11"
"82","A25GK6PV0R9QBO","00","00","01"
"83","A25X755IRWK2U5","00","00","01"
"84","A26OJ4TA28AFHC","00","00","01"
"85","A27IUQDZPHETTP","00","00","01"
"86","A27XE4YPBNHMK3","01","11","11"
"87","A28QM3564PH50Z","00","01","11"
"88","A293Y9SY2ETQN5","00","01","11"
"89","A298FAWY76NZA9","00","00","01"
"90","A29WJ1PEV6SB06","00","01","11"
"91","A2AJLPNA8VP44S","00","01","11"
"92","A2BEH9YQPHKP6A","01","11","11"
"93","A2C3C5E75XD165","01","11","11"
"94","A2CK566Z4YFO00","00","00","01"
"95","A2CSV75E3JT58Y","00","00","00"
"96","A2EMWGAJBN1HGE","00","01","11"
"97","A2EUSYNR52LAYT","00","00","01"
"98","A2FD9AKQ1G1FB6","01","11","11"
"99","A2FE7E2IZYQALC","00","00","00"
"100","A2FL477TMKC91L","00","00","00"
"101","A2FNTELAA1018G","00","01","11"
"102","A2FW27RNKPQT0Y","00","00","01"
"103","A2GSSXKTPAEL6D","01","11","11"
"104","A2HPE1JESQR8L9","00","01","11"
"105","A2IFPAX33G7JZJ","00","00","01"
"106","A2J92KPUWBO33J","00","00","00"
"107","A2JHF7CU91EVXW","00","01","11"
"108","A2JO52BHJMCRD8","00","00","01"
"109","A2K12Y7EY4S1IL","00","00","00"
"110","A2L366NNL1YG5W","00","00","01"
"111","A2L4RO3TES1WIY","00","00","00"
"112","A2LXTAVRLL8GY5","00","00","01"
"113","A2M4KEWDEE7LYY","00","01","11"
"114","A2MLO81YDMGRKX","00","00","01"
"115","A2MRJX1DSC99Y9","00","01","11"
"116","A2NQO3JAPV0MUQ","00","01","11"
"117","A2OA40985FQ5OU","00","00","00"
"118","A2PRF5G21RC5G3","00","01","11"
"119","A2QIZ31TMHU0GD","00","00","01"
"120","A2QPMJ4GADLUW2","00","00","01"
"121","A2RQJBT7SZMBV7","00","00","00"
"122","A2SC6UVH1MJ9OE","00","00","00"
"123","A2T5YVU37RBCCP","00","00","00"
"124","A2TNGZPWGNQLQ ","00","00","00"
"125","A2U3723LKNMHAI","00","01","11"
"126","A2UCY7PC4D4U9X","01","11","11"
"127","A2UTG9W67TP6HB","00","01","11"
"128","A2V272VAW0GIPL","01","11","11"
"129","a2vxmri706cdgi","01","11","11"
"130","A2W3WLV6AU88B9","00","00","01"
"131","A2WN21UXDXCJY4","01","11","11"
"132","A2WS2N6YRHWUO7","01","11","11"
"133","A2X2FSQ1WEYD09","00","01","11"
"134","A2XQVPDOOYHUS7","01","11","11"
"135","A2YW9LD13QKUI6","00","00","01"
"136","A2ZGAH6NOSU2PO","00","00","00"
"137","A2ZKTLWQ56QI4O","00","00","01"
"138","A2ZQ4UEFEECKH9","00","01","11"
