"","worker_id","group","round","round_bonus","round_timespent","round_accuracy","round_screener","CQ1","CQ2","CQ3","CQ4","CQ5"
"1","A1V6CLZZVH3PLU","CCC","one",0,"135.296","0.941176470588235","1","around half","2","Yes","21 to 30","Yes"
"2","A2T5YVU37RBCCP","CCC","one",0,"127.326","0.529411764705882","1","around half","2","No","41 or more","No"
"3","A3UE7E3PIOZV4R","CCC","one",0,"66.842","1","1","a lot more than half","2","Yes","41 or more","Yes"
"4","A20UCVI4ST12GC","CCC","one",0,"67.947","1","1","around half","1","Yes","31 to 40","No"
"5","A1VDET148FIJWJ","CCC","one",0,"115.095","1","1","a lot more than half","1","Yes","41 or more","No"
"6","A4A2TC8YA24E6","CCC","one",0,"399.182","0.823529411764706","1","around half","2","Maybe","11 to 20","No"
"7","A6CB0N28MHOD3","CCC","one",0,"172.12","1","1","around half","2","Yes","0 to 10","Yes"
"8","A2SC6UVH1MJ9OE","CCC","one",0,"87.525","0.764705882352941","1","around half","1","Yes","31 to 40","Yes"
"9","A2K12Y7EY4S1IL","CCC","one",0,"62.935","0.764705882352941","1","around half","1","Yes","11 to 20","No"
"10","A3QH4NEUUO81CX","CCC","one",0,"151.214","1","1","around half","2","Yes","41 or more","Yes"
"11","ASQW51PUO2OLI","CCC","one",0,"149.572","1","1","a lot more than half","1","Yes","21 to 30","No"
"12","A2TNGZPWGNQLQ ","CCC","one",0,"80.909","0.647058823529412","1","a lot more than half","2","Yes","41 or more","No"
"13","A7FLK0E6W6O0I","CCC","one",0,"134.648","1","1","a lot more than half","3","Yes","41 or more","Yes"
"14","A3OJL45QP316O1","CCC","one",0,"191.965","0.705882352941177","1","a lot less than half","1","Yes","21 to 30","Yes"
"15","A1U7K5FH83GZJ1","CCC","one",0,"102.146","0.941176470588235","1","a lot more than half","2","Yes","11 to 20","No"
"16","A1W5A8Z3JUZN7S","CCC","one",0,"136.523","0.823529411764706","1","a lot more than half","3","Yes","0 to 10","Yes"
"17","A1KXYURHCYHKOL","CCC","one",0,"169.426","0.882352941176471","1","a lot more than half","2","Yes","21 to 30","No"
