"","worker_id","group","round","round_bonus","round_timespent","round_accuracy","round_screener","CQ1","CQ2","CQ3","CQ4","CQ5"
"1","A3VVS6KT8DSBO","CCC","one",0,"175.772","0.941176470588235","1","around half","1","Maybe","0 to 10","No"
"2","A1JF9ZNXWK5QZU","CCC","one",0,"521.19","0.941176470588235","1","a lot more than half","2","Yes","21 to 30","Yes"
"3","A2QRVXWQ8NOCZH","CCC","one",0,"75.138","0.823529411764706","1","a lot more than half","2","Yes","41 or more","No"
"4","AP02XE897TMR5","CCC","one",0,"351.282","0.647058823529412","1","a lot less than half","1","Maybe","41 or more","Yes"
"5","A2T01LQBGRSCDF","CCC","one",0,"270.422","0.764705882352941","1","a lot more than half","2","Yes","21 to 30","Yes"
"6","A2MS0L8NYOH7HJ","CCC","one",0,"242.089","0.470588235294118","1","around half","3","Yes","21 to 30","Yes"
"7","A22KRF782ELLB0","CCC","one",0,"140.865","0.705882352941177","1","around half","2","Yes","41 or more","No"
"8","A28BFHHHF6Y57M","CCC","one",0,"538.35","0.882352941176471","1","a lot more than half","1","No","31 to 40","Yes"
"9","A2C27YTQSQ1GXS","CCC","one",0,"79.417","0.470588235294118","1","a lot less than half","2","Yes","31 to 40","No"
"10","A8KDSIY4KBYR4","CCC","one",0,"168.295","0.882352941176471","1","around half","2","Yes","41 or more","No"
"11","A1FBHWI0K8SGQA","CCC","one",0,"297.524","0.647058823529412","1","around half","1","Yes","41 or more","No"
"12","A2O4UAS8AXZ5A9","CCC","one",0,"196.589","0.470588235294118","1","a lot less than half","2","Yes","0 to 10","Yes"
"13","A3623K4YKQ42R9","CCC","one",0,"26.619","0.0588235294117647","0","around half","3","Maybe","0 to 10","Yes"
"14","A3C9KXG5SJST07","CCC","one",0,"96.532","0.941176470588235","1","around half","3","Yes","41 or more","Yes"
"15","A28JGET2XTPRG5","CCT","one",0,"165.228","0.941176470588235","1","around half","1","Yes","0 to 10","No"
"16","APGP18KT9QZB6","CCT","one",0,"97.405","0.823529411764706","1","around half","2","Yes","31 to 40","No"
"17","A4RZPIOYNDL7M","CCT","one",0,"205.482","0.764705882352941","1","a lot more than half","2","Yes","11 to 20","Yes"
"18","A3IJLBGQ24LNJA","CCT","one",0,"126.665","0.588235294117647","1","a lot more than half","3","Yes","41 or more","Yes"
"19","A6S8LIDH79N0O","CCT","one",0,"96.485","0.117647058823529","1","around half","4","Yes","21 to 30","Yes"
"20","A1565BNEK1R86W","CCT","one",0,"144.361","0.823529411764706","1","around half","1","Yes","41 or more","Yes"
"21","A10U0UWBQ1OBZD","CCT","one",0,"187.118","0.941176470588235","1","a lot less than half","2","Yes","31 to 40","No"
"22","A2VNBZ7P595W77","CCT","one",0,"157.056","0.294117647058824","1","a lot less than half","1","Yes","31 to 40","Yes"
"23","A2C83KDE5MUZQP","CCT","one",0,"76.022","1","1","a lot more than half","2","Yes","31 to 40","No"
"24","A20SXG1DHDIDI7","CCT","one",0,"261.963","0.941176470588235","1","around half","2","Yes","41 or more","No"
"25","A1WNHGZ8S46T3C","CCT","one",0,"157.01","0.705882352941177","1","a lot more than half","3","Yes","41 or more","No"
"26","A3I5AH4959TUYF","CCT","one",0,"81.098","0.705882352941177","1","a lot more than half","3","Yes","41 or more","Yes"
"27","A42VJPPGH5SLM","CCT","one",0,"272.928","0.705882352941177","1","around half","3","Yes","41 or more","Yes"
"28","A16YVNUJMK1RNE","CCT","one",0,"104.983","0.764705882352941","1","around half","1","Maybe","21 to 30","Yes"
"29","A1B5YMVUL4HH67","CCT","one",0,"48.05","0.117647058823529","0","around half","3","Yes","21 to 30","Yes"
"30","A12E0YAXVLAJOW","CCT","one",0,"96.502","1","1","around half","2","Yes","21 to 30","No"
"31","A1NQW9H2DW4XDG","CTT","one",0,"345.528","0.764705882352941","1","around half","1","Yes","31 to 40","No"
"32","ALYEON3R1GFKV","CTT","one",0,"467.345","0.705882352941177","1","around half","1","Yes","41 or more","Yes"
"33","A2Z8V9A1E4N3ND","CTT","one",0,"98.109","0.764705882352941","1","a lot more than half","1","Yes","41 or more","Yes"
"34","ABB2CRBMKMKE8","CTT","one",0,"236.117","1","1","a lot less than half","2","No","11 to 20","Yes"
"35","A2HX5UVZC38SIB","CTT","one",0,"117.537","0.529411764705882","1","a lot less than half","2","No","21 to 30","Yes"
"36","A3JXZ60HKXKCBI","CTT","one",0,"124.11","0.764705882352941","1","around half","1","Yes","41 or more","No"
"37","A1D6U8UNEELO45","CTT","one",0,"119.764","0.0588235294117647","1","a lot less than half","2","Yes","11 to 20","Yes"
"38","ATX7JIFSG266H","CTT","one",0,"788.984","0.764705882352941","1","a lot more than half","3","Yes","21 to 30","Yes"
"39","AEEKWT5AAPPWV","CTT","one",0,"223.027","1","1","around half","2","Maybe","0 to 10","Yes"
"40","A32IS852XM3D17","CTT","one",0,"5.379","0.0588235294117647","0","around half","1","Yes","41 or more","No"
"41","A2G0HRT8HS9HRZ","CTT","one",0,"188.07","0.882352941176471","1","a lot less than half","1","Yes","31 to 40","No"
"42","AVL5BZZ3X3S4B","CTT","one",0,"149.211","0.588235294117647","1","around half","1","Yes","41 or more","Yes"
"43","A3BUKQ7ZGNS3UU","CTT","one",0,"270.292","0.588235294117647","1","a lot less than half","2","No","21 to 30","Yes"
"44","A1WUZOLVPEXOLE","CTT","one",0,"72.314","0.176470588235294","1","around half","2","Yes","21 to 30","No"
